country,year,uniqueid,bank_account,location_type,cellphone_access,household_size,age_of_respondent,gender_of_respondent,relationship_with_head,marital_status,education_level,job_type
2,2018,0,1,1,1,3,24,0,1,0,2,0
2,2018,1111,0,1,0,5,70,0,0,2,1,8
2,2018,2222,1,2,1,5,26,1,4,1,4,0
2,2018,3333,0,1,1,5,34,0,0,0,0,5
2,2018,4444,0,2,0,8,26,1,2,1,0,1
2,2018,5555,0,1,0,7,26,0,1,0,0,1
2,2018,6666,0,1,1,7,32,0,1,0,0,0
2,2018,7777,0,1,1,1,42,0,0,0,3,7
2,2018,8624,1,1,1,3,54,1,0,0,2,2
2,2018,1,0,2,1,3,76,0,0,3,1,3
2,2018,112,0,1,1,5,40,0,0,0,2,2
2,2018,223,1,1,1,3,69,1,0,0,2,4
2,2018,334,0,1,0,6,64,0,0,2,1,2
2,2018,445,0,1,0,8,31,0,1,0,0,0
2,2018,556,0,2,1,4,26,1,0,0,0,1
2,2018,667,0,1,1,7,38,1,0,0,0,1
2,2018,778,0,2,1,1,47,0,0,0,2,0
2,2018,889,1,1,1,6,27,0,0,0,2,0
2,2018,1000,0,2,1,1,48,0,0,1,4,5
2,2018,1112,0,1,0,4,25,0,1,0,0,2
2,2018,1223,0,1,1,4,26,1,0,0,0,2
2,2018,1334,1,2,1,1,32,1,0,1,4,0
2,2018,1445,0,2,1,4,34,0,1,0,2,0
2,2018,1556,0,1,1,3,21,0,1,0,2,1
2,2018,1667,0,2,0,7,18,1,4,1,2,3
2,2018,1778,0,1,1,5,22,0,2,1,2,3
2,2018,1889,0,1,0,8,26,1,2,0,0,0
2,2018,2000,0,2,1,1,31,0,0,1,0,1
2,2018,2111,0,1,1,4,26,1,0,0,0,5
2,2018,2223,0,1,0,7,58,0,0,2,1,3
2,2018,2334,0,2,1,5,55,1,0,0,2,1
2,2018,2445,0,2,1,5,38,1,0,0,2,0
2,2018,2556,1,2,1,4,62,0,1,0,0,7
2,2018,2667,0,1,1,3,29,0,0,0,0,3
2,2018,2778,0,1,1,10,42,0,1,0,0,2
2,2018,2889,0,1,1,5,48,0,0,2,0,1
2,2018,3000,0,1,1,4,35,1,0,0,0,1
2,2018,3111,0,1,1,5,45,1,0,0,0,1
2,2018,3222,0,1,1,8,45,1,0,0,0,2
2,2018,3334,0,1,0,3,70,1,0,0,1,2
2,2018,3445,0,1,1,6,67,1,0,3,0,2
2,2018,3556,0,2,1,4,19,0,4,1,2,3
2,2018,3667,1,1,1,3,80,1,0,2,0,3
2,2018,3778,0,1,1,2,66,1,0,0,2,2
2,2018,3889,0,2,0,1,31,1,0,1,0,5
2,2018,4000,0,1,1,1,50,0,0,1,0,0
2,2018,4111,0,1,0,3,29,0,0,1,0,1
2,2018,4222,0,1,1,4,33,1,0,0,4,2
2,2018,4333,0,2,1,4,28,0,2,0,4,0
2,2018,4445,0,2,1,3,28,1,2,1,2,2
2,2018,4556,0,2,1,3,26,0,0,3,2,1
2,2018,4667,0,2,1,2,51,0,0,1,2,0
2,2018,4778,0,2,0,5,16,0,4,1,0,3
2,2018,4889,0,1,1,2,17,1,4,1,2,3
2,2018,5000,1,2,1,1,22,0,0,1,2,0
2,2018,5111,0,1,1,3,66,0,0,2,0,2
2,2018,5222,1,1,1,6,50,1,0,0,4,7
2,2018,5333,0,2,1,4,33,1,0,0,0,1
2,2018,5444,0,1,1,11,21,1,2,1,5,1
2,2018,5556,0,1,1,5,30,0,1,0,2,1
2,2018,5667,0,1,1,8,30,0,0,3,0,0
2,2018,5778,0,1,0,1,67,0,0,2,1,1
2,2018,5889,0,1,1,3,50,0,1,0,2,2
2,2018,6000,1,2,1,1,25,0,0,1,3,3
2,2018,6111,0,1,1,6,25,1,0,0,1,2
2,2018,6222,0,2,0,3,30,0,1,0,0,1
2,2018,6333,0,1,0,1,37,1,0,3,0,1
2,2018,6444,1,2,1,1,30,0,0,0,0,0
2,2018,6555,0,2,0,5,28,0,2,1,0,1
2,2018,6667,1,2,1,1,30,1,0,1,2,5
2,2018,6778,0,1,1,2,59,0,0,1,4,1
2,2018,6889,0,2,1,5,29,1,0,0,2,1
2,2018,7000,0,1,0,4,31,0,1,0,0,2
2,2018,7111,0,2,1,3,27,0,1,0,2,3
2,2018,7222,1,1,1,4,55,0,1,0,0,2
2,2018,7333,0,2,1,4,34,1,0,0,0,1
2,2018,7444,0,2,0,4,17,1,4,1,2,3
2,2018,7555,0,2,0,3,21,0,1,0,4,1
2,2018,7666,0,2,1,5,37,0,0,3,2,1
2,2018,7778,0,1,0,4,42,0,1,0,0,2
2,2018,7889,0,1,0,8,40,0,1,0,0,3
2,2018,8000,0,1,0,4,17,1,2,1,2,3
